page,column,line,source,page_score,row
3,2,Ekonomiska Institutionen,text,120,5
3,2,"Avd, för ekonomisk historik",text,120,6
3,2,Umeå,text,120,7
5,1,"en verkligt njutbar Cig -Cigarrett har säkert de flesta rökare erfarit, men profröker Ni Belgiska Cig.-Cigarretten NERON blifver Ni angenämt öfverraskad.",text,200,1
5,1,"Hugo Lundgrens Cigarrimport, 19",text,200,2
5,1,Stureplan (hörnet af Kungsgatan).,text,200,3
5,1,"för Herrar rökare, är otvifvelaktigt en burk Qboid tobak.",text,200,4
5,1,"Enastående i arom, bränner ej och bildar ingen tobaksolja.",text,200,5
5,1,"HUGO LUNDGRENS CIGARRIMPORT, Stureplan.",text,200,6
5,1,"(Einkommensteuer-Verzeichniss für Stockholm, Stockholms Vorstädte und sämtliche Einwohner in Stockholms Landshauptmannschaft von 4,000",text,200,7
5,1,Kr. und aufwärts.),text,200,8
5,1,"Bad-, Tvätt- och Strykinrättningar",text,200,9
5,1,MÄLARBADET,text,200,10
5,1,Allm. Tel. 93 42 · 93 44,text,200,11
5,2,Rikstel. 26 13—125 95.,text,200,1
5,2,A. T. 74 02—47 41.,text,200,2
5,2,SAMT,text,200,3
5,2,1912,text,200,4
5,2,(Eftertryck förbjudes vid laga påföljd),text,200,5
5,2,11,text,200,6
5,2,Handtverkaregatan 11,text,200,7
5,2,Rikstel. 3814 · 3815,text,200,8
6,1,"(Ombud för Göteborgs, Malmö, Norrköpings o. Helsingborgs m. fl. Köpmannaföreningar)",text,205,1
6,1,Drottninggatan 2,text,205,2
6,1,"Inkasseringar, rättegångar, konkursbe- vakningar samt öfriga juridiska uppdrag.",text,205,3
6,1,Sterbhus= och konkursutredningar.,text,205,4
6,1,Soliditetsupplysningar om affärsmän i,text,205,5
6,1,Sverige och Norge samt de flesta öfriga länder.,text,205,6
6,1,OBS.! Moderata arvoden. — Snabb expedition.,text,205,7
6,2,för,text,205,1
6,2,Sverige och Norge samt utlandet.,text,205,2
6,2,STOCKHOLM C,text,205,3
6,2,Bevakning af mål i öfverrätterna.,text,205,4
6,2,TELEFONER:,text,205,5
6,2,Inkassoafdeln.: Riks 22 37. Allm. 8 76.,text,205,6
6,2,Upplysn.-afdeln.: Riks 35 53. Allm. 8 78.,text,205,7
6,2,Kontorstid: \( ^{1}/_{2} \) 10— \( ^{1}/_{2} \) 4.,text,205,8
7,2,10,text,140,1
7,2,Kungsgatan,text,140,2
7,2,15,text,140,3
7,2,Götgatan,text,140,4
7,2,STOCKHOLM,text,140,5
7,2,Höst- o. Vinteröfverrockar,text,140,6
7,2,från Kr. 25: — till Kr. 75: —,text,140,7
7,2,Kavajkostymer,text,140,8
7,2,från Kr. 25: — till Kr. 65: —,text,140,9
7,2,Bonjourkostymer,text,140,10
7,2,från Kr. 50: — till Kr. 85: —,text,140,11
7,2,Frack-o. Smokingkostymer,text,140,12
7,2,från Kr. 60: — till Kr. 90: —,text,140,13
7,2,"Gosskläder, välsorteradt lager.",text,140,14
7,2,Första klass,text,140,15
7,2,beställningsskrädderi.,text,140,16
8,1,Notariatafdelningens exp.:,text,180,1
8,1,mottager till vård och förvaltning under bankens ansvar alla slag af värdehandlingar.,text,180,2
8,1,a) i fråga om inteckningar och andra skuldebref att vidtaga åtgärder för fordrans vidmakthållande samt inkassera förfallna räntor och uppsagda kapitalbelopp;,text,180,3
8,1,b) i fråga om obligationer att i god tid underrätta deponenten om gjorda utlottningar och lämna förslag till placering af det ledigblifna kapitalet samt att på förfallo-dagen förete obligationer och kuponger till inlösen;,text,180,4
8,1,"c) i fråga om aktier och banklotter att inkassera förfallna kuponger och, efter uppdrag, vid nyteckningar bevaka deponentens rätt.",text,180,5
8,1,Inkasserade medel kunna efter deponentens önskan antingen få afhämtas å Notariatafdelningen eller blifva genom afdelningens försorg insatta i bank i Stockholm eller annorstädes eller och deponenten tillsända pr post.,text,180,6
8,2,Rikstel. 123 46.,text,180,1
8,2,Allm. tel. 93 30.,text,180,2
8,2,Ombudsmannen:,text,180,3
8,2,Rikstel. 65 65.,text,180,4
8,2,Allm. tel. 65 63.,text,180,5
8,2,Expeditionstid kl. 10—1|24.,text,180,6
8,2,(Lördagar och helgdagsaftnar 10-2.),text,180,7
9,1,"Till staten utgå tvänne på inkomst grundade skatter: 1) bevillning och 2) inkomst- och förmögenhetsskatt, den senare i stället för den förutvarande inkomstskatten.",text,180,1
9,1,"Bevillning påföres för inkomst af ränta å inteckningar och obligationer eller å räkning i bank innestående medel, för inkomst af tjänst, rörelse eller yrke samt för annan inkomst af arbete (äfvenledes spekulationsvinst eller lotterivinst.)",text,180,2
9,1,"Inkomst- och förmögenhetsskatt utgår för samma inkomst, som påföres bevillning samt dessutom för utdelning å aktier och inkomst af fastighet (den verkliga inkomsten sedan vederbörliga utgifter afdragits, ej såsom förut en viss procent å taxeringsvärdet) samt för 1/60",text,180,3
9,1,"af förmögenheten, men äger den skattskyldige rätt till afdrag för ränta å gäld, för under föregående år erlagda kommunalutskylder, för utbetaldt periodiskt understöd, för försäkringspremier intill ett belopp af 200",text,180,4
9,1,"kronor samt för förlust å verksamhet, där förlusten ej redan vid taxering till bevillning afdragits.",text,180,5
9,1,"Som hufvudregel gäller, att såväl bevillning som inkomst- och förmögenhetsskatt påföres där den skattskyldige är mantalsskrifven; dock taxeras vissa slag af rörelse, såsom fabriks- och verkstadsrörelse, läkarepraktik etc. (hvad afser Stockholm dock ej handelsrörelse), till bevillning men ej till inkomst- och förmögenhetsskatt i den församling där rörelsen utöfvas.",text,180,6
9,1,Bevillningstaxeringen återfinnes i denna kalender i första och inkomst- och förmögenhetstaxeringen i andra kolumnen.,text,180,7
9,1,"Om en person således har större belopp i andra än i första kolumnen betyder detta att han har utdelning å aktier eller inkomst af fastighet eller förmögenhet eller är taxerad till bevillning i annan församling; är däremot första kolumnen högre än den andra visar detta att hans afdrag (för kommunalutskylderna, för gäldränta, för periodiskt understöd eller för försäkringspremier) äro större än hans möjligen förefintliga inkomst af aktier eller fastighet eller \( ^{1/60} \) af hans förmögenhet.",text,180,8
9,1,"Exempel: En löntagare har som enda inkomst sin lön på 5,000",text,180,9
9,1,kronor; han utgifver i försäkringspremier 125 kr. och i kommunalutskylder 350 kr.; hans taxeringar blifva:,text,180,10
9,1,"bevillning 5,000: —",text,180,11
9,1,vid ink.- och förmögenhetsskatten afdrages,text,180,12
9,1,kommunalutskylderna.... 350: —,text,180,13
9,1,"försäkringspremierna 125: — 475: — återstår 4,525: —",text,180,14
9,1,"En fabrikör är bosatt i Engelbrekts församling men har fabrik i Katarina församling. Hans inkomster utgöras af 1,200",text,180,15
9,1,"kr. såsom styrelseledamot i bolag, 14,000",text,180,16
9,1,"kr. af fabriksrörelsen i Katarina samt 6,500",text,180,17
9,1,"kr. utdelning å aktier och 12,000",text,180,18
9,1,"kr. inkomst af fastighet; hans förmögenhet uppgår till 180,000",text,180,19
9,1,"kr. Han äger rätt till afdrag för kommunalutskylderna 1,900",text,180,20
9,1,kr.; för försäkringspremier 200,text,180,21
9,1,"kr. (han utger i verkligheten 550 kr.), för underhåll åt gift dotter 1,500 kr., för ränta å gåld 9,000 kr. Hans taxeringar blifva:",text,180,22
10,1,"Bevillning dels i Katarina 14,000: — och dels i Engelbrekt 1,200: —, inkomst- och förmögenhetsskatt endast i Engelbrekt utgår af sammanlagda bevillningarna .... 15,200: — utdelningen å aktier .... 6,500: — inkomst af fastighet .... 12,000: — \( ^{1}/_{60} \) af förmögenheten 180,000 kr. .... 3,000: —",text,210,1
10,1,härifrån afdrages:,text,210,2
10,1,"kommunalutskylderna 1,900: — försäkringspremierna 200: — underhället 1,500: — gäldräntan 9,000: —",text,210,3
10,1,Stockholm i juli 1912.,text,210,4
10,1,"en verkligt njutbar Cig.-Cigarrett har säkert de flesta rökare erfarit, men prof-röker Ni Belgiska Cig.-Cigarretten NERON blifver Ni angenämt öfverraskad.",text,210,5
10,1,"för Herrar rökare, är otvifvelaktigt en burk QBOID tobak.",text,210,6
10,2,"Summa 36,700: —",text,210,1
10,2,"återstår Summa 24,100: —",text,210,2
10,2,REDAKTIONEN.,text,210,3
10,2,Ensamförsäljare för Sverige:,text,210,4
10,2,"Hugo Lundgrens Cigarrimport, Stureplan.",text,210,5
10,2,Rikstel. 26 13—125 95. A. T. 74 02—47 41.,text,210,6
11,1,"Vasagatan 9, II. STOCKHOLM.",text,1700,1
11,1,R. T. 121 63,text,1700,2
11,1,A. T. 93 82,text,1700,3
11,1,"Aarflot, A. G:son, verkm., Mt., 6750—6200",ref_text,1700,4
11,1,"Abbe, F. H., lärov.-adj., M, 5860—5300",ref_text,1700,5
11,1,"hustru, M. U. Ch., 240—1100",ref_text,1700,6
11,1,"Abel, L., advokat, J., 6350—5800",ref_text,1700,7
11,1,"Abelin, C. E. K., generalska, H., 1370—27900",ref_text,1700,8
11,1,"Abelin, N., f. d. kapten, H., -31000",ref_text,1700,9
11,1,"hustru, S. A., -23800",ref_text,1700,10
11,1,"Abelsted, A. F., handelsbitr., G, 3930—3500",ref_text,1700,11
11,1,"hustru, L. S., 700—700",ref_text,1700,12
11,1,"Abenius, J. G., v. häradsh., Kl, 40390—",ref_text,1700,13
11,1,"Abenius, A., kapten, O, 73400—38700",ref_text,1700,14
11,1,"Abild,S.,öfvering.,J.,—5100",ref_text,1700,15
11,1,"Abrahamsén, O., representant, K1, 4800 —4300",ref_text,1700,16
11,1,"Abrahamsson,C.T.,dir.,O,6100-5800",ref_text,1700,17
11,1,"Abrahamson, B. R. H., grossh., E, 20020 —18300",ref_text,1700,18
11,1,"Abrahamson, J. L., f. d. grossh., Kl, 4000—",ref_text,1700,19
11,1,"Abrahamson, S., handelsagent, O, 8230-8500",ref_text,1700,20
11,1,"Abrahamsson, C. A. G., kamrer, E, 8430—7500",ref_text,1700,21
11,1,"hustru, A. O. S., 260—800",ref_text,1700,22
11,1,"Abrahamsson, O., korresp., Kh., 4240—3300",ref_text,1700,23
11,1,"Abrahamsson,A.,tandl.,H.,7600-6020",ref_text,1700,24
11,1,"Abrahamsson, C. G., tjm., J, 10870—11400",ref_text,1700,25
11,1,"Abrahamson, E., änkefru, E, —71000",ref_text,1700,26
11,1,"Abrahamsson, I., änkefru, H., —23200",ref_text,1700,27
11,1,"Abrahmsén, H. E., agent, Kt, 2500—2500",ref_text,1700,28
11,1,"hustru, E. M. V., —4900",ref_text,1700,29
11,1,"Abrahmsén, K. H. V., civiling., Mt., 5840—5800",ref_text,1700,30
11,1,Rikstel. 92 69,text,1700,31
11,1,"advokat, (f. d. kanslisekr. och kommissionär i k. finansdep.)",text,1700,32
11,2,Telegrafadress »IHRÉN.»,text,1700,1
11,2,"Abramson, G., & C:o, akt.-bol., N., 77380—73100",ref_text,1700,2
11,2,"Abramson, A. N., grossh., Kl, 15170—32500",ref_text,1700,3
11,2,"Abramsson, F. J., f. d. grossh., Mt., 25050—29000",ref_text,1700,4
11,2,"Accumulatoren-Fabrik, Aktien Ges., Kl, 18860—18600",ref_text,1700,5
11,2,"Achsner, K. R., insp., Kt., 5000—4400",ref_text,1700,6
11,2,"Adams-Ray, E., språkl., A., 3150—3100",ref_text,1700,7
11,2,"hustru, D., 1810—4700",ref_text,1700,8
11,2,"Adamson, J. R., ing., Kt., 4100—3600",ref_text,1700,9
11,2,"Adamson, E. H. H., vinh., Kh., 16820—17300",ref_text,1700,10
11,2,"hustru, E., 50—",ref_text,1700,11
11,2,"Adamson, M. A., änkefru, O, 4450—5700",ref_text,1700,12
11,2,"Adde, E. A., banktjm., Mt, 5050—4400",ref_text,1700,13
11,2,"Adde, G., andre bibl., O, 4320—3900",ref_text,1700,14
11,2,"Adde, W. A., f. d. kamrer, M, 4760—6100",ref_text,1700,15
11,2,"Adde, P. A., f. d. kapten, Mt., 4220—4000",ref_text,1700,16
11,2,"Adelborg, J., änkefrih:a, J, —6300",ref_text,1700,17
11,2,"Adelsköld, S. G., änkefrü, E, 3070—40600",ref_text,1700,18
11,2,"Adén, F. W. E., ing., Kh, 5200—4700",ref_text,1700,19
11,2,"Adler,C.,fru,N.,-6700",ref_text,1700,20
11,2,"Adler, T. H., tjm., M, 3500—3300",ref_text,1700,21
11,2,"hustru, H. C., 1800—1700",ref_text,1700,22
11,2,"Adlercreutz, A. L. G. A., grefvinna, E, 8980—12800",ref_text,1700,23
11,2,"Adlercreutz, N. A. D., ryttm., E, 9780—12600",ref_text,1700,24
11,2,"Adlercreutz, J. A. E., änkefru, H., 4580—22600",ref_text,1700,25
11,2,"Adlers, Hj. A. O., dir., G, -10400",ref_text,1700,26
11,2,"Adlers, P. Fr., godsägare, A, —20200",ref_text,1700,27
11,2,"Adlersträhle, A. E. T., kapten, E, 9140—6900",ref_text,1700,28
11,2,"hustru,A.M.V.,360—1200",ref_text,1700,29
11,2,"Adolfson, A. F. E., kont.-chef, H, 19100 —16000",ref_text,1700,30
11,2,"lämnas sakkunnigt biträde af jur. kand., v. härads-höfding grefve",text,1700,31
11,2,Stockholm,text,1700,32
11,2,• Birgerjarlsgatan 31.,text,1700,33
11,2,Allm. Tel. 92 69,text,1700,34
12,1,"Adrian, K. F. S., gymnastiklärare, Mt., 4030—3500",text,1805,1
12,1,"Aftonbladets akt.-bol., Kl, 16230—32000",text,1805,2
12,1,"Afzelius, A. E., arkivarie, G., 6280—7500",text,1805,3
12,1,"Afzelius, A. O., t. f. bankokomm., O., 7880—7500",text,1805,4
12,1,"Afzelius, C. G., grossh., O, 16140—34500",text,1805,5
12,1,"hustru, S., —5500",text,1805,6
12,1,"Afzelius, P. A., handl., J., 6000—7900",text,1805,7
12,1,"Afzelius, H. N. C., hotpred., E, 10020—19300",text,1805,8
12,1,"hustru, M, 2500—2400",text,1805,9
12,1,"Afzelius, M. R., kapten, E, 9590—9800",text,1805,10
12,1,"Afzelius, I. M:son, lärov.-adj., A, 4056-3300",text,1805,11
12,1,"Afzelius, A. N., med. d:r, H, 9710—840",text,1805,12
12,1,"Afzelius, J. F. I., president, J, 25360-44600",text,1805,13
12,1,"Afzelius, C. C., änkefru, H., 5330—680",text,1805,14
12,1,"Agge, J. M., lärov.-adj., A, 5630—5800",text,1805,15
12,1,"Agrelius, O. M., järnv.-dir., A, 7990-10300",text,1805,16
12,1,"hustru, E. Ch., 120-100",text,1805,17
12,1,"Agrén, K. G. F., ing., H., 4870—4400",text,1805,18
12,1,"Ahlbaum, K. R., kammarskr., M, 4720-5300",text,1805,19
12,1,"Ahlberg, K. A., apot., H., 14570—1420",text,1805,20
12,1,"Ahlberg, I. M. K., byråing., Mt., 4120-4000",text,1805,21
12,1,"Ahlberg, J. L., dir., Kt, 9610—8600",text,1805,22
12,1,"Ahlberg, K. J., dir., Mt, 9090—10900",text,1805,23
12,1,"hustru, E. A., 100—100",text,1805,24
12,1,"Ahlberg, P. J., f. d. fabr., Kt., 3770—640",text,1805,25
12,1,"Ahlberg, N. J., fil. lic., J., 11330—1030",text,1805,26
12,1,"Ahlberg, A., fru, N., 4000—",text,1805,27
12,1,"Ahlberg, O. A., grossh., KI, 4800—480",text,1805,28
12,1,"Ahlberg, C. L., handl., G, 5860—4900",text,1805,29
12,1,Bremer Cigarren FANDANGO,text,1805,30
12,1,"Frans Svensson,",text,1805,31
12,1,"Stureplan 2 och Strandvägen 9, Stockholm.",text,1805,32
12,1,K.Anderson,text,1805,33
12,2,"à 10,50 per 100.",text,1805,1
12,2,1 tr. upp. Största Skrädderietablissement Sandbergs.,text,1805,2
12,2,"Ahlberg & Ohlssons intrumentakt.-bol., H, 6470—6100",text,1805,3
12,2,"Ahlberg, J. A., lektor, O, 5640-4700",text,1805,4
12,2,"Ahlberg, Š. C., f. d. lär:a, M, 3370—4300",text,1805,5
12,2,"Ahlberg, D. J., musikdir., Kh, 4500–4000",text,1805,6
12,2,"hustru, M. H., 660–600",text,1805,7
12,2,"Ahlberg, C. F. A., rådman, H, 7600—7900",text,1805,8
12,2,"Ahlberg, K. O., spec.-handl., J., 4000—",text,1805,9
12,2,"Ahlbin, G. H. G., journalist, Kh., 4200—3700",text,1805,10
12,2,"hustru, T., 1500—1500",text,1805,11
12,2,"Ahlbom, J. E., tygförv., H, 4720—4100",text,1805,12
12,2,"Ahlbo:n, K. E., kontrellör, A., 4420—4000",text,1805,13
12,2,"Ahldin, G. H., byggn.-ing., J., 7760–7400",text,1805,14
12,2,"hustru, I. E., —400",text,1805,15
12,2,"Ahldin, K. J. G., fläskh., Mt, 4070—3700",text,1805,16
12,2,"Ahlén, A., Iektor, A, 4170–13000",text,1805,17
12,2,"hustru, L., —1100",text,1805,18
12,2,"Ahlfvengren, F. E., lektor, G, 5980—5100",text,1805,19
12,2,"Ahlgren, J., f. d. hofr.-råd, H., 6730—16800",text,1805,20
12,2,"Ahlgren, N. F. M., kont., Kt, 4150—3800",text,1805,21
12,2,"hustru, A. U. E., 610—500",text,1805,22
12,2,"Ahlgren, G., major, N., 7870—7300",text,1805,23
12,2,"Ahlgren, R. L., posttjm., H, 4410—3900",text,1805,24
12,2,"Ahlgren, P. C., rev.-sekr., O, 8770—10200",text,1805,25
12,2,"Ahlgrens, I., änkefru, stärbh., A. 6810—11900",text,1805,26
12,2,"Ahlin, A. J., aktuarie, A, 4520—4100",text,1805,27
12,2,"Ahlin, E. E., dir., M, 8000—8000",text,1805,28
12,2,"Ahlin, C. J., fastigh.-mäklare, Mt, 4570-4500",text,1805,29
12,2,"Ahlin, E. M., handelsr., G., 7950—7700",text,1805,30
12,2,"Ahlin, L. G., sekr., O, 6490—5500",text,1805,31
12,2,"Ahlin, B. O. J., uppb.-man, J., 4400—4000",text,1805,32
12,2,"Ahlm, J. M., roteman, Kt, 4930—3900",text,1805,33
12,2,"Ahlman, H. S., änkefru, O, 3110—4900",text,1805,34
12,2,Kungl. Hofjuvelerare,text,1805,35
12,2,1,text,1805,36
12,2,Jakobstorg 1,text,1805,37
13,1,"Ahlmann, H. W., öfverste, H, 8910—10000",text,2245,1
13,1,"hustru, B. M. L., 400—100",text,2245,2
13,1,"Ahlqvist, H. A., kanslist, J., 7290—9100",text,2245,3
13,1,"hustru, K. N., 1490—1300",text,2245,4
13,1,"Ahlqvist, C. F., konditor, H., 7410—7400",text,2245,5
13,1,"Ahlsell & Ahrens, akt.-bol., J., 43840—41300",text,2245,6
13,1,"Ahlsel', R. L., verkst. dir., E, 25470—25300",text,2245,7
13,1,"Ahlsell, A. L., f. d. öfvering., A., 14450—27100",text,2245,8
13,1,"Ahlson, A. H. N., civiling., A., 4500—4500",text,2245,9
13,1,"Ahlstedt,L.A.,kamrer,Kt.,4880—5800",text,2245,10
13,1,"Ahlstedt, C. O., kassör, Kt., 6890—8700",text,2245,11
13,1,"Ahlstedt,E.,syssloman,Kh.,4350-4000",text,2245,12
13,1,"Ahlstrand,J.,änka,Kt.,-6200",text,2245,13
13,1,"Ahlström, C. G., apot., Kl., 4390—4300",text,2245,14
13,1,"Ahlström, J. K. R., bankir, Kl., 10660—",text,2245,15
13,1,"Ahlström,C.A.,f.d.bokb.,Kh.,.-15800",text,2245,16
13,1,"Ahlström, O. J., boktr., Kh., 8910—8900",text,2245,17
13,1,"hustru, J. T., 14200—15600",text,2245,18
13,1,"Ahlström, A., ing., M., 6150—5200",text,2245,19
13,1,"Ahlström,G.A.E.,löjtn.,O.,6190—7100",text,2245,20
13,1,"Ahlström, N. A. Fr. V., löjtn., A., 12400 —13900",text,2245,21
13,1,"Ahlström, E. O., med. d:r, H., 13000—10800",text,2245,22
13,1,"Ahlström, O., målarm., J., 4440—5000",text,2245,23
13,1,"Ahlström, G. L., f. d. skeppsr., H., 4660 —14000",text,2245,24
13,1,"Ahlström, F. A. O., tjm., A., 6860—7300",text,2245,25
13,1,"Ahlström, J. G., tjm, H., 5020—5500",text,2245,26
13,1,"Ahlström, J. O., tjm., H., 4600—5100",text,2245,27
13,1,"Ahlström, S. A., änkefru, E., 13710—23800",text,2245,28
13,1,"Ahmée, C. M., förste revisor, Kh., 6120 —5900",text,2245,29
13,1,"Ahne, K. H., byråkontr., Kt., 4620—4100",text,2245,30
13,1,"hustru, L. A., 200—100",text,2245,31
13,1,"Ahnér, J., lagerbokh., Kl., 4200—3800",text,2245,32
13,1,"Ahnfelt, H., fru, J., 12450—",text,2245,33
13,1,"Ahrenberg, S. Th., byråassistent, G., 5780—7000",text,2245,34
13,1,"Ajgeldinger, G. H. E., kamrer, E., 6600 —4900",text,2245,35
13,1,"Akrell, A. F., korresp., Mt., 6990—10000",text,2245,36
13,1,"Akrell, C. A. G., major, O., 5600—12000",text,2245,37
13,1,"A.-B. Alfort & Cronholm, J., 12670—16900",text,2245,38
13,2,18,text,2245,1
13,2,Regeringsgatan,text,2245,2
13,2,5,text,2245,3
13,2,Sturegatan,text,2245,4
13,2,90,text,2245,5
13,2,Drottninggatan,text,2245,6
13,2,"A.-B. Alpha, J., 10340—32700",text,2245,7
13,2,"A.-B. Bröderna Ameln, H., 23650—25600",text,2245,8
13,2,"A.-B. Aladdin, Kl., 1760—4800",text,2245,9
13,2,"A.-B. D. Andersen & C:o, Kl., 15000—15000",text,2245,10
13,2,"A.-B. P. J. Andersson, Kl., 20450—25100",text,2245,11
13,2,"A.-B. J. Anderssons Nya kolimport, Kl., 38870—37000",text,2245,12
13,2,"A.-B. Arbetareringens Bank, N., 171730 —242800",text,2245,13
13,2,"A.-B. Arcus, J., 25340—25300",text,2245,14
13,2,"A.-B. G. Arehns mek. verkstad, Kh., 30950—50000",text,2245,15
13,2,"A.-B. Ateneum för flickor, A., 4310—2000",text,2245,16
13,2,"A.-B. Nya Atlas, G., 201520-361500",text,2245,17
13,2,"A.-B. J. Bagges sedeltryckeri, Kl., 39780—48900",text,2245,18
13,2,"A.-B. J. Bagges Söner, H., 10000—8800",text,2245,19
13,2,"A.-B. Bankesta småbruk, J., 9580—56800",text,2245,20
13,2,"A.-B. G. Bastman, J., 8260—7500",text,2245,21
13,2,"A.-B. W. Becker, Kl., 37030—109800",text,2245,22
13,2,"A.-B. W. Becker, N., 3000—",text,2245,23
13,2,"Champagne Delbeck & C:o, Reims, serveras å alla 1:sta klass restauranter i Sverige.",text,2245,24
13,2,"A.-B. V. Bégats herrekipering, J., 5420 —5400",text,2245,25
13,2,"A.-B. J. Beijers skofabrik, Kh., -13200",text,2245,26
13,2,"A.-B. M. Bendix, J., 10430-17000",text,2245,27
13,2,"A.-B. M. Bendix, E., 4500—",text,2245,28
13,2,"A.-B. Berns salonger, J., 196460—215800",text,2245,29
13,2,"A.-B. Carl J. Berg, A., 2320-4600",text,2245,30
13,2,"A.-B. P. U. Bergström, Kl., 87380—86100",text,2245,31
13,2,"A.-B. P. U. Bergström, A., 5000—",text,2245,32
13,2,"A.-B. Beve & C:os kappfabr., N., 8160—",text,2245,33
13,2,"A.-B. Billiga Tomter, J., 28590—50300",text,2245,34
13,2,"A.-B. Bjurström & Wallenberg, Mt., 27470 —4000",text,2245,35
13,2,"A.-B. Blasieholmen, J., —24900",text,2245,36
13,2,"A.-B. J. Blomberg & C:o, J., 6160—5800",text,2245,37
13,2,"A.-B. Brising & Fagerström, J., 4300—3800",text,2245,38
13,2,"A.-B. Brunkebergstunneln, J., 16550—15400",text,2245,39
13,2,"A.-B. Bångbro rörverk, N., —250800",text,2245,40
13,2,BENGT OXENSTIERNA,text,2245,41
14,1,"A.-B. A. Börtzells tryckeri, Kl., 50870 -64500",text,2310,1
14,1,"A.-B. Gust. Carlsson & C:o, Kl., 81300 -78000",text,2310,2
14,1,"A.-B. W. Carlsson & C:o, E., 43750—89600",text,2310,3
14,1,"A.-B. W. Carlsson & C:o, Kl., 50000—",text,2310,4
14,1,"A.-B. Continental Cautchouc-compagnie, H., 8420—7900",text,2310,5
14,1,"A.-B. Curator, Kl., 5000-",text,2310,6
14,1,"A.-B. Custodia, J., 213290—366600",text,2310,7
14,1,"A.-B. Diesels motorer, N., -120700",text,2310,8
14,1,"A.-B. Dux, Mt., 22350-20900",text,2310,9
14,1,"A-B. Elevator, Kh., 41250-61800",text,2310,10
14,1,"A-B. Sven Engdahl, J., 27280-27700",text,2310,11
14,1,"A.-B. Ericsson & Köhler, J., 11780-10700",text,2310,12
14,1,"A.-B. P. Ericson & C:o, Kl., 5000—",text,2310,13
14,1,"A.-B. Feiths Ångbageri, Kl., 8690—9900",text,2310,14
14,1,"A-B. Formator, Kh., 8850—8800",text,2310,15
14,1,"A.-B. Freiamagasinet, Kl., 15520-20700",text,2310,16
14,1,"A.-B. Frejamagasinet, H., 7750—",text,2310,17
14,1,"A.-B. Föreningsbanken, N., 137740—251500",text,2310,18
14,1,"A.-B. Föreningsbanken, H., 16790—",text,2310,19
14,1,"A.-B. för spridning af litterära verk, A., 49740—48300",text,2310,20
14,1,"A.-B. för varubelåning, H., 11250—10600",text,2310,21
14,1,"A.-B. Gebe, J., -5000",text,2310,22
14,1,"A.-B. Gröndals patenter, J., 13600-13200",text,2310,23
14,1,"A.-B. Göteborgs bank, J., 493940—",text,2310,24
14,1,"A.-B. Göteborgs kexfabrik, H., 8350—",text,2310,25
14,1,"A.-B. Göteborgssystemet i Stockholm, N., 491700",text,2310,26
14,1,"A.-B. Göteborgssystemet i Stockholm, M., 400930—",text,2310,27
